"CENSUS_YEAR","SA2_RES_CODE","SA2_RES_NAME_STD","CBD_COMMUTERS","TOTAL_COMMUTERS_OD","CBD_DEPENDENCY_RATE"
2016,116021310,"Parklea - Kellyville Ridge",2021,15464,0.1306906363166063114330056906363166063114
2016,124011455,"Wentworth Falls",141,2270,0.0621145374449339207048458149779735682819
2016,109011176,"Lavington",0,4305,0
2021,106011113,"Singleton Surrounds",5,2401,0.002082465639316951270304039983340274885464
2021,112011241,"Evans Head",8,1967,0.004067107269954245043213014743263853584138
2021,111031231,"Shortland - Jesmond",20,5171,0.003867723844517501450396441694063043898666
2021,115021298,"Galston - Laughtondale",210,2333,0.0900128589798542648949849978568366909559
2021,115041301,"Pitt Town - McGraths Hill",190,5419,0.0350618195238973980439195423509872670234
2016,113031263,"Cootamundra",4,2625,0.001523809523809523809523809523809523809524
2016,108011152,"Forster",21,4228,0.004966887417218543046357615894039735099338
2016,119041382,"Sans Souci - Ramsgate",1621,7077,0.2290518581319768263388441429984456690688
2016,121011400,"Lane Cove - Greenwich",4353,13333,0.326483162079051976299407485187129678242
2016,111021217,"Edgeworth - Cameron Park",30,6289,0.004770233741453331213229448242963905231356
2016,119031371,"Oatley - Hurstville Grove",1615,5963,0.2708368271004527922186818715411705517357
2016,127011505,"Austral - Greendale",140,3509,0.0398974066685665431746936449130806497578
2021,112011242,"Lennox Head - Skennars Head",57,4268,0.0133552014995313964386129334582942830366
2021,123021438,"Claymore - Eagle Vale - Raby",620,8237,0.0752701226174578123103071506616486584922
2016,110041203,"Tamworth - North",15,6386,0.002348888192922016911994989038521766363921
2016,116031317,"Mount Druitt - Whalan",713,7608,0.0937171398527865404837013669821240799159
2016,103011061,"Oberon",5,1790,0.00279329608938547486033519553072625698324
2016,111011211,"Redhead",12,1390,0.008633093525179856115107913669064748201439
2016,121011401,"St Leonards - Naremburn",2308,6186,0.3731005496281926931781441965729065632072
2016,114011276,"Huskisson - Vincentia",21,1459,0.014393420150788211103495544893762851268
2021,104021091,"Woolgoolga - Arrawarra",23,5718,0.004022385449457852395942637285764253235397
2021,110041199,"Gunnedah",3,4044,0.000741839762611275964391691394658753709199
2021,127021517,"Greenfield Park - Prairiewood",248,2576,0.0962732919254658385093167701863354037267
2021,127021511,"Cabramatta - Lansvale",659,7193,0.091616849715000695120255804254135965522
2016,101041017,"Batemans Bay",0,2295,0
2016,107041549,"Wollongong - West",291,6873,0.0423395896988214753382802269751200349192
2016,125011583,"Auburn - North",776,4523,0.1715675436657086004864028299801017024099
2016,126011496,"Pennant Hills - Cheltenham",2042,9703,0.2104503761723178398433474183242296197052
2016,112031552,"Tweed Heads South",4,1539,0.002599090318388564002599090318388564002599
2016,119021362,"Belmore - Belfield",1649,7415,0.222387053270397842211732973701955495617
2021,119011571,"Bankstown - North",881,5410,0.1628465804066543438077634011090573012939
2021,118011340,"Bondi Beach - North Bondi",5227,11470,0.4557105492589363557105492589363557105493
2021,116031315,"Hassall Grove - Plumpton",799,9328,0.0856560891938250428816466552315608919383
2021,125031714,"Merrylands - Holroyd",1020,7519,0.1356563372788934698763133395398324245245
2016,101021011,"Queanbeyan Region",20,2713,0.007371913011426465167711021009952082565426
2016,119031369,"Mortdale - Penshurst",3084,11550,0.267012987012987012987012987012987012987
2016,127011506,"Cobbitty - Leppington",687,8326,0.0825126110977660341100168147970213788134
2016,121011398,"Chatswood (East) - Artarmon",4409,13214,0.3336612683517481459058574239443014984108
2016,103021068,"Parkes Region",0,1262,0
2021,111011213,"Valentine - Eleebana",74,5773,0.0128182920491945262428546682833881863849
2021,120011672,"Concord West - North Strathfield",1721,6121,0.2811632086260414964875020421499754942003
2011,101041017,"Batemans Bay",0,2081,0
2016,122031431,"Narrabeen - Collaroy",1813,11976,0.1513861055444221776887107548430193720775
2016,124031458,"Castlereagh - Cranebrook",775,11524,0.0672509545296771954182575494619923637626
2021,128011602,"Caringbah",1168,6199,0.188417486691401839006291337312469753186
2016,107041548,"Wollongong - East",252,5961,0.0422747861097131353799698037242073477604
2016,113031270,"Wagga Wagga - West",7,5307,0.001319012624835123421895609572263048803467
2016,125031482,"Greystanes - Pemulwuy",1206,11370,0.1060686015831134564643799472295514511873
2016,127031522,"Casula",707,6217,0.1137204439440244490912015441531285185781
2016,107031137,"Albion Park Rail",54,2655,0.0203389830508474576271186440677966101695
2021,104021086,"Coramba - Nana Glen - Bucca",0,1652,0
2021,107011546,"Port Kembla - Warrawong",98,3083,0.0317872202400259487512163477132662990594
2021,107031142,"Shellharbour - Oak Flats",64,4336,0.0147601476014760147601476014760147601476
2021,108041165,"Port Macquarie Surrounds",3,2099,0.001429252024773701762744163887565507384469
2021,113011259,"Narrandera",5,2282,0.00219106047326906222611744084136722173532
2021,117021328,"Sydenham - Tempe - St Peters",2099,4669,0.4495609338188048832726493895909188263011
2021,121021579,"Wahroonga (West) - Waitara",1484,5323,0.2787901559271087732481683261318805185046
2021,127031733,"Prestons",684,6428,0.1064094586185438705662725575606720597386
2016,101041023,"Eden",0,1054,0
2016,121031407,"Gordon - Killara",2777,9422,0.2947357248991721502865633623434514964976
2016,108041165,"Port Macquarie Region",5,2089,0.002393489707994255624700813786500718046912
2016,119011360,"Revesby",1411,6892,0.2047301218804410911201392919326755658735
2016,127011595,"Hinchinbrook",424,5293,0.0801058001133572643113546193085206877007
2016,101021010,"Queanbeyan - East",3,852,0.003521126760563380281690140845070422535211
2016,122021422,"Newport - Bilgola",752,6478,0.1160852114850262426674899660389008953381
2016,121011402,"Willoughby - Castle Cove - Northbridge",3986,11517,0.3460970738907701658417990796214291916298
2016,110031197,"Narrabri",0,2996,0
2016,102011035,"Narara",233,3073,0.0758216726326065733810608525870484868207
2016,103011058,"Bathurst",34,10010,0.003396603396603396603396603396603396603397
2016,119041375,"Arncliffe - Bardwell Valley",4046,10519,0.3846373229394429128244129670120733910067
2016,128021538,"Sutherland - Kirrawee",2386,10234,0.233144420558921242915770959546609341411
2021,107011547,"Windang - Primbee",27,1433,0.0188415910676901605024424284717376133985
2021,109021177,"Hay",0,1196,0
2021,111031233,"Wallsend - Elermore Vale",61,9008,0.006771758436944937833037300177619893428064
2021,115011557,"Castle Hill - West",385,2606,0.1477359938603223330775134305448963929394
2021,115041623,"Box Hill - Nelson",693,5199,0.1332948643969994229659549913444893248702
2016,111021219,"Toronto - Awaba",32,4903,0.006526616357332245563940444625739343259229
2016,116021312,"Riverstone - Marsden Park",757,7909,0.0957137438361360475407763307624225565811
2016,102021051,"Ourimbah - Fountaindale",106,2280,0.0464912280701754385964912280701754385965
2016,112031254,"Tweed Heads",13,3866,0.00336264873254009311950336264873254009312
2016,118011343,"Double Bay - Bellevue Hill",5973,12370,0.4828617623282134195634599838318512530315
2016,127031598,"Liverpool",798,8158,0.0978180926697720029418975239029173817112
2016,125041489,"North Parramatta",1761,10145,0.1735830458353868900936421882700837851158
2021,111021219,"Toronto - Awaba",57,5254,0.0108488770460601446516939474685953559193
2021,112011243,"Mullumbimby",39,3223,0.0121005274588892336332609370152032268073
