"CENSUS_YEAR","SA2_RES_CODE","SA2_RES_NAME_STD","CBD_COMMUTERS","CBD_DEPENDENCY_RATE","PT_SHARE","WFH_SHARE","MIXED_SHARE","TOTAL_COMMUTERS","CBD_GROWTH_RATE_16_21","BUS_CANDIDATE_SCORE"
2021,119031374,"South Hurstville - Blakehurst",2599,0.2301221887727997166637152470338232689924,0.1390667886550777676120768526989935956084,0.4081528921419131849140998271830842736607,0.0107756429805835112330995222120565212971,9837,-0.0786954980503367600141793690180786954981,0.3998728162336673185188808810129886030654
2021,104021089,"Sawtell - Boambee",63,0.007704537116301822184175125351595939831234,0.002984687256683104074746950428237736828445,0.118608876200363353231248377887360498313,0.001167921100441214637944458863223462237218,7706,2.70588235294117647058823529411764705882,0.398704890379943003230958125243404570486
2021,126021503,"West Ryde - Meadowbank",2716,0.2691507283718164701218907937766326429492,0.09582048282463043709454429437413591407,0.5164309263001169839412953312772519408699,0.008295224928214399659683079868127193448899,9403,0.040613026819923371647509578544061302682,0.397124936751865448338481480378214779846
2021,128021536,"Oyster Bay - Como - Jannali",2630,0.2490294479689423350061547201969510463024,0.0358582643751326119244642478251644387863,0.5288563547634203267557818799066412051772,0.006153193295141099087629959685974962868661,9426,0.0876757650951199338296112489660876757651,0.3962652505786141733643385759903091144649
2021,122031429,"Freshwater - Brookvale",2863,0.2453719574905725059993143640726774082962,0.0324481102148101151092178011420284600743,0.5302274993202211547176651862594036073597,0.003444212816097163056285688389377322577721,11033,0.0865275142314990512333965844402277039848,0.3962356749947824085910042265685056688072
2021,117021637,"Marrickville - South",3069,0.4217976910390324354040681693238042880704,0.0964108725033788857185763628172398257997,0.5532362216549031386094008109325724583271,0.005406217149722180507583721279471392100916,6659,0,0.396234323614631472174146604199429685121
2021,120011385,"Drummoyne - Rodd Point",3108,0.3377159621862436162121047484515918722156,0.0342489772063120981881940385739333722969,0.5765049678550555230859146697837521917008,0.002220923436586791350087668030391583869082,8555,-0.0275344180225281602002503128911138923655,0.3933784400839701124553725785661237466761
2021,117031644,"Sydney (North) - Millers Point",3351,0.7283199304499021951749619647902629863073,0.0951834862385321100917431192660550458716,0.606651376146788990825688073394495412844,0.002752293577981651376146788990825688073394,4360,0,0.3931998969117437352478146757062975319826
2021,117031638,"Camperdown - Darlington",3124,0.6408205128205128205128205128205128205128,0.079507278835386338185890257558790593505,0.6008958566629339305711086226203807390817,0.004255319148936170212765957446808510638298,4465,0,0.3925102614048758285982293429771472323116
2021,118011649,"Bellevue Hill",2996,0.4204912280701754385964912280701754385965,0.0435939116299689670459583271760011822078,0.6058814836707551352150140387173045662775,0.003694399290675336190335451455593320526082,6767,0,0.3906172721545757355646757293343500998039
2021,119041670,"Bexley - South",1872,0.2705984388551604509973980919340849956635,0.1448,0.35856,0.01488,6250,0,0.3895205087794332183052793775595694943259
2021,119041668,"Arncliffe - Bardwell Valley",2323,0.3247134470226446743080793961420184512161,0.10663360198388096714197148171109733416,0.4220396776193428394296342219466831990081,0.009144451332920024798512089274643521388717,6452,0,0.3876491532257154989781599494004756696138
2021,121041417,"North Sydney - Lavender Bay",3127,0.4292381606039807824296499656829100892244,0.0766580534022394487510766580534022394488,0.6771461383864484639678438128050531151306,0.002440424921045076083835773758254378409417,6966,0.2129557796741660201706749418153607447634,0.3858568555314715851866471300247073216239
2021,111031229,"Newcastle - Cooks Hill",138,0.0190502484815019326339039204859193815572,0.0230218021039792651318798597347156578747,0.3502058240585455099862783960969660009148,0.004268943436499466382070437566702241195304,6559,2.63157894736842105263157894736842105263,0.3857317134282222168620963292887478215344
2021,120011383,"Concord - Mortlake - Cabarita",2526,0.2324468574583601730008281954541271740131,0.0343351910828025477707006369426751592357,0.5032842356687898089171974522292993630573,0.004677547770700636942675159235668789808917,10048,0.0189592577652279144816458249294070189593,0.385126242797041293723878956258142426418
2021,121021403,"Asquith - Mount Colah",1872,0.1708029197080291970802919708029197080292,0.0458815386136655789577771185602689607436,0.4901611786809057648571146049639078413923,0.009789380005932957579353307623850489469,10113,0.2830705962988348183687457162440027416038,0.3848952732951259625135827519895696873833
2021,117021636,"Marrickville - North",2791,0.4337218337218337218337218337218337218337,0.0611972652993163248290812072703018175755,0.5892946473236618309154577288644322161081,0.004669001167250291812572953143238285809571,5997,0,0.3831247426919793665671364807546093410577
2021,120021389,"Lilyfield - Rozelle",3217,0.4405039025058195262221005066411063946323,0.0386756519191327278054497509522414298271,0.6612950483445648989159097568121886903018,0.001025490770583064752417228244945795487841,6826,-0.0560446009389671361502347417840375586854,0.3829907122090912041430719002388623865671
2021,125021477,"Ermington - Rydalmere",1769,0.1664158043273753527751646284101599247413,0.0357370772176132737715379706445437141034,0.4556477345245692405871091257179323548181,0.009572431397574984045947670708359923420549,9402,0.207508532423208191126279863481228668942,0.3816096364638224713608822018782049360787
2021,122011418,"Balgowlah - Clontarf - Seaforth",2928,0.2989280245022970903522205206738131699847,0.0307386112339672711189739053516143299425,0.6271561256081379920389208314904909332154,0.002100840336134453781512605042016806722689,9044,-0.0101419878296146044624746450304259634888,0.3805106308592056425207859568347793306643
2021,121011684,"Chatswood - East",2683,0.3059293044469783352337514253135689851767,0.1031362340399157059625635304326267509607,0.5631585471674724184951035081194991942482,0.006074129168216189413660592537498450477253,8067,0,0.3782434555524626894027037310234524762911
2021,117011321,"Botany",1897,0.287598544572468162522741055184960582171,0.0373647984267453294001966568338249754179,0.4062602425434283841363487381186496230744,0.006227466404457554900032776138970829236316,6102,0.1983575489576753000631711939355653821857,0.3775464723490530472528107091520283334952
2021,115011558,"Cherrybrook",2017,0.2270884935825264580049538392253996847557,0.0384942319368548876745598057073466909532,0.5962355798421372191863995142683667273831,0.009593199757134183363691560412871888281724,8235,0.1605293440736478711162255466052934407365,0.3772141088423597273212254100465106803488
2021,125011586,"Lidcombe",1867,0.2071912107424259238708245477749417378759,0.1646372399797057331303906646372399797057,0.3457635717909690512430238457635717909691,0.013064434297311009639776763064434297311,7884,-0.0513211382113821138211382113821138211382,0.3767795443134756765833971442798958423334
2021,121011686,"Lane Cove",2676,0.3256266731564857629593575079094670236067,0.0399323621227887617065556711758584807492,0.625,0.004292403746097814776274713839750260145682,7688,0,0.3766523941718441931191268320690619714589
2021,117011323,"Pagewood - Hillsdale - Daceyville",1827,0.2790164935858277336591325595601710445938,0.0626537641463014597342955551910775791373,0.3523044120059045432179760537969493193374,0.005576513039199606363785468263080203378711,6097,0.3191335740072202166064981949458483754513,0.3763049363664181997956698562204320288457
2021,120031676,"Ashfield - North",2203,0.3679024716098864395457581830327321309285,0.1618027336534909493904691540450683413373,0.4713705208718138160325083117842630217953,0.011267085334318433690432212781677133358,5414,0,0.3751040328032480019792966298002959625385
2021,116011306,"Doonside - Woodcroft",1136,0.1163815182870607519721340026636615100912,0.0715596330275229357798165137614678899083,0.3310779816513761467889908256880733944954,0.0166284403669724770642201834862385321101,8720,-0.1131928181108508977361436377829820452771,0.3748128958281186046246858961172625387422
2021,121011401,"St Leonards - Naremburn",2804,0.3966614797000990239072004526807186306408,0.0707525912573231185218566922036953582695,0.674327775274147513895147964548595463422,0.003004356316659155775875018777226979119724,6657,0.2149046793760831889081455805892547660312,0.3743170951220470750281165883877794825347
2021,103041077,"Orange",56,0.007158379138437939409433721078869998721718,0.005980698654342802772869376104390376512165,0.1086040505640886230800598069865434280277,0.00067962484708440940600788364822617914911,7357,2.11111111111111111111111111111111111111,0.37399855265003649955710779144662757048
2021,116021563,"Quakers Hill",1635,0.1375336473755047106325706594885598923284,0.0589903573454339194554736245036868973341,0.4511249763660427301947438079031953110229,0.009831726224238986575912270750614482889015,10578,0.2452399086062452399086062452399086062452,0.3735332175264668299570092446559194451927
2021,121031411,"Turramurra",2252,0.2531759415401911186059584035975267003935,0.0304870642536135066197012024778331106523,0.6290538078464715170654682375804688448925,0.006801894813555204664156443580711769707276,8233,0.1126482213438735177865612648221343873518,0.3729187079938156980612068913256492921165
2021,128011604,"Cronulla - Kurnell - Bundeena",2152,0.1762345426255015969208091065432806485955,0.0287596830202119134538331404149229810346,0.4227584364704834832160982993500133558899,0.004184845516872940966966432196598700026712,11231,-0.0336775931746744499326448136506511001347,0.3721884598971550024473791343565756320027
2021,120031395,"Haberfield - Summer Hill",2735,0.3871744054360135900339750849377123442809,0.0635415044385609718112443544619218190313,0.604578726055131599439339666718579660489,0.00280330166640710169755489799096713907491,6421,0.0186219739292364990689013035381750465549,0.3710716895488193558322092570860209637389
2021,125041489,"North Parramatta",2072,0.1923148320029701132355671059959160943011,0.0685953792680433449192394193416479247598,0.5250460028624003271314659578818237579227,0.007156000817828664894704559394806787977919,9782,0.1766042021578648495173197047132311186826,0.3710192219693103836606314699325537441675
2021,111031235,"Wickham - Carrington - Tighes Hill",84,0.0165061898211829436038514442916093535076,0.0214517876489707475622968580715059588299,0.3284940411700975081256771397616468039003,0.001950162513542795232936078006500541711809,4615,2.5,0.3705742833649141801483845993835808575974
2021,126021724,"Ryde - North",2023,0.2140514231298275314781504602687546291398,0.0574672284644194756554307116104868913858,0.4659410112359550561797752808988764044944,0.007139513108614232209737827715355805243446,8544,0,0.3700021409701046649744567765536659380014
2021,121041689,"Mosman - South",2654,0.381925456900273420636062742840696503094,0.0423921271763815291445874337623012869039,0.664496593489780469341408024224072672218,0.003785011355034065102195306585919757759273,6605,0,0.3689578326942886712667332625949882442958
2021,119021662,"Earlwood",2261,0.298678996036988110964332892998678996037,0.0345512918513988686745146002140345512919,0.5658156245222443051521174132395658156245,0.005503745604647607399480201804005503745605,6541,0,0.3689522473879131235167760214518698410296
2021,123021443,"Minto - St Andrews",963,0.116473149492017416545718432510885341074,0.0671631499103571921114329058060957109364,0.2778927044545579920011032960970900565439,0.0150324093228520204109777961660460626121,7251,-0.0446428571428571428571428571428571428571,0.3684031330853208209586551371643617601179
2021,126021501,"North Ryde - East Ryde",1934,0.256023298914482393433942282234577707175,0.0491591203104786545924967658473479948254,0.5775477935891907431364093718556849216616,0.005030904125341382779933879545781227540607,6957,0.5472,0.3679468734415532475369068718220041684125
2021,116021629,"Marsden Park - Shanes Park",1087,0.1480321394525398338553724635707476508239,0.0374600274097761534947464595705801735952,0.4652048119384802801888229023907415867215,0.0159890360895386021014161717679305619004,6567,0,0.3674107967933819890061789846211977373638
2021,128021535,"Menai - Lucas Heights - Woronora",1598,0.1513974419706300331596399810516342965419,0.0157855705053501430236253840449200127132,0.4363809725606526115054560864498357876894,0.00932302150651552071193982413391249072995,9439,-0.0915292779988629903354178510517339397385,0.3668400098384441314764833236390139463687
2021,125031481,"Granville - Clyde",1269,0.1561269685039370078740157480314960629921,0.2052217855137563166760247052217855137563,0.2765300393037619314991577765300393037619,0.0171252105558674901740595171252105558675,7124,-0.000787401574803149606299212598425196850394,0.3663570391501222093188584210889780979559
