"CENSUS_YEAR","SA2_RES_CODE","SA2_RES_NAME_STD","WFH_COMMUTERS","TOTAL_COMMUTERS","WFH_RATE"
2021,125041493,"Toongabbie - Constitution Hill",3798,8527,0.445408701770845549431218482467456315234
2021,126021498,"Gladesville - Huntleys Point",3961,7234,0.547553220901299419408349460879181642245
2021,127011505,"Austral - Greendale",1594,4228,0.3770104068117313150425733207190160832545
2021,127011592,"Badgerys Creek",0,6,0
2021,127011596,"Hoxton Park - Carnes Hill - Horningsea Park",1637,4570,0.3582056892778993435448577680525164113786
2021,127011726,"Cobbitty - Bringelly",679,2000,0.3395
2021,127021510,"Bossley Park - Abbotsbury",2026,5636,0.359474804826117814052519517388218594748
2021,127021520,"St Johns Park - Wakeley",995,3050,0.3262295081967213114754098360655737704918
2011,101041017,"Batemans Bay",125,2191,0.0570515746234596074851665905979005020539
2011,102011032,"Gosford - Springfield",303,7192,0.0421301446051167964404894327030033370412
2011,102011034,"Kincumber - Picketts Valley",110,2482,0.044319097502014504431909750201450443191
2016,101021010,"Queanbeyan - East",66,2377,0.027766091712242322254943205721497686159
2016,101021011,"Queanbeyan Region",504,7831,0.0643595964755459072915336483207764014813
2016,101041017,"Batemans Bay",109,2216,0.0491877256317689530685920577617328519856
2016,101041022,"Deua - Wadbilliga",5,10,0.5
2016,101041023,"Eden",39,971,0.0401647785787847579814624098867147270855
2016,101041027,"Narooma - Bermagui",247,2405,0.1027027027027027027027027027027027027027
2016,101061543,"Young",191,3674,0.0519869352204681545998911268372346216658
2016,102011028,"Avoca Beach - Copacabana",314,3178,0.0988042794210195091252359974826935179358
2016,102011035,"Narara",135,2882,0.0468424705065926439972241498959056210965
2016,102021044,"Bateau Bay - Killarney Vale",355,8238,0.0430929837339159990288905074047098810391
2016,102021051,"Ourimbah - Fountaindale",123,2155,0.057076566125290023201856148491879350348
2016,103011058,"Bathurst",375,9209,0.0407210337713106743403192529047670756868
2016,103011061,"Oberon",170,1712,0.0992990654205607476635514018691588785047
2016,103021068,"Parkes Region",267,1207,0.2212096106048053024026512013256006628003
2016,105031105,"Narromine",308,2366,0.1301775147928994082840236686390532544379
2016,106021115,"Maitland - East",381,10531,0.0361789003893267495964295888329693286488
2016,107011547,"Windang - Primbee",39,1390,0.0280575539568345323741007194244604316547
2016,107031137,"Albion Park Rail",72,2561,0.0281140179617336977743069113627489262007
2016,107041548,"Wollongong - East",211,5608,0.0376248216833095577746077032810271041369
2016,107041549,"Wollongong - West",214,6336,0.0337752525252525252525252525252525252525
2016,108011152,"Forster",202,3913,0.0516227958088423204702274469716330181446
2016,108041165,"Port Macquarie Region",290,2028,0.1429980276134122287968441814595660749507
2016,109011176,"Lavington",139,5207,0.0266948338774726329940464758978298444402
2016,110021190,"Glen Innes",358,2831,0.1264570823030731190392087601554221123278
2016,110031197,"Narrabri",135,2769,0.0487540628385698808234019501625135427952
2016,110041203,"Tamworth - North",218,5973,0.0364975724091746191193705005859701992299
2016,111011211,"Redhead",77,1321,0.0582891748675246025738077214231642694928
2016,111021217,"Edgeworth - Cameron Park",165,5939,0.0277824549587472638491328506482572823708
2016,111021219,"Toronto - Awaba",235,4591,0.0511871052058375081681550860379002395992
2016,112031254,"Tweed Heads",360,6380,0.0564263322884012539184952978056426332288
2016,112031552,"Tweed Heads South",100,2214,0.0451671183378500451671183378500451671183
2016,113031263,"Cootamundra",187,2510,0.0745019920318725099601593625498007968127
2016,113031270,"Wagga Wagga - West",148,5039,0.0293709069259773764635840444532645366144
2016,113031271,"Wagga Wagga Region",829,6221,0.1332583185982960938755827037453785565022
2016,114011276,"Huskisson - Vincentia",121,1439,0.0840861709520500347463516330785267546908
2016,125041489,"North Parramatta",276,9645,0.0286158631415241057542768273716951788491
2016,126011496,"Pennant Hills - Cheltenham",637,9108,0.0699385155906895037329819938515590689504
2016,126021498,"Gladesville - Huntleys Point",405,6743,0.0600622868159572890404864303722378763162
2016,127011505,"Austral - Greendale",430,3480,0.1235632183908045977011494252873563218391
2016,127011506,"Cobbitty - Leppington",465,7921,0.058704709001388713546269410427976265623
2016,127011595,"Hinchinbrook",134,5142,0.0260598988720342279268767016725009723843
2016,127021520,"St Johns Park - Wakeley",91,3951,0.0230321437610731460389774740572007086813
